items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Net Income,"39,370","7,465","14,152","18,547",META
Depreciation/Depletion,"7,967","2,156","4,135","6,310",META
Deferred Taxes,609,(563),"(1,016)","(2,113)",META
Unusual Items,--,--,--,413,META
Other Non-Cash Items,"9,037","2,277","5,817","9,055",META
Non-Cash Items,"9,037","2,277","5,817","9,468",META
"Cash Taxes Pd, Supplemental","8,525",502,"2,641","4,647",META
Accounts Receivable,"(3,110)","2,557","2,035","1,930",META
Prepaid Expenses,"(1,750)",573,138,(693),META
Other Assets,(349),(108),(132),(160),META
Accounts Payable,"1,424",(987),(678),(678),META
Accrued Expenses,"3,357",763,"1,943","2,942",META
Changes in Working Capital,700,"2,741","3,184","3,752",META
Total Cash from Operations,"57,683","14,076","26,272","35,964",META
Capital Expenditures,"(18,567)","(5,441)","(13,013)","(22,388)",META
Acquisition of Business,(851),(853),"(1,216)","(1,250)",META
Sale of Fixed Assets,--,126,170,190,META
Sale/Maturity of Investment,"42,586","5,467","8,626","10,895",META
Purchase of Investments,"(30,454)","(4,068)","(6,288)","(8,885)",META
Other Investing Cash Flow,(284),(10),(17),(1),META
"OtherInvestCashFlowItms,Tot","10,997",662,"1,275",949,META
Total Cash from Investing,"(7,570)","(4,779)","(11,738)","(21,439)",META
Financing Cash Flow Items,"(5,514)",(921),"(2,032)","(3,289)",META
"Iss (Retirmnt) of Stock,Net","(44,537)","(9,506)","(14,739)","(21,093)",META
Long Term Debt Issued,--,--,--,"9,921",META
Long Term Debt Reduction,(677),(233),(452),(615),META
"Iss (Retirmnt) of Debt, Net",(677),(233),(452),"9,306",META
Total Cash From Financing,"(50,728)","(10,660)","(17,223)","(15,076)",META
Foreign Exchange Effects,(474),(149),(698),"(1,063)",META
Net Change in Cash,"(1,089)","(1,512)","(3,387)","(1,614)",META
NetCash-BeginBal/RsvdforFutUse,"17,954","16,865","16,865","16,865",META
NetCash-EndBal/RsrvforFutUse,"16,865","15,353","13,478","15,251",META
"Depreciation, Supplemental","7,967","2,156","4,135","6,310",META
