items,2017,2018,2019,2020,2021,ticker
Cash & Equivalents,"7,059","9,287","9,067","14,275","10,959",HON
Short Term Investments,"3,758","1,623","1,349",945,564,HON
Cash and Short Term Invs,"10,817","10,910","10,416","15,220","11,523",HON
"Trade Accts Recvble, Gross","9,068","7,705","7,639","7,029","7,007",HON
Prov. for Doubtful Accts,(202),(197),(146),(202),(177),HON
"Total Receivables, Net","8,866","7,508","7,493","6,827","6,830",HON
Invent. - Finished Goods,"2,669","2,445","2,593","2,612","2,925",HON
Invent. - Work In Progress,790,811,817,798,861,HON
Invent. - Raw Materials,"1,193","1,109","1,056","1,079","1,352",HON
LIFO Reserve,(39),(39),(45),0,--,HON
Total Inventory,"4,613","4,326","4,421","4,489","5,138",HON
"Other Curr. Assets, Total","1,706","1,618","1,973","1,639","1,881",HON
Total Current Assets,"26,002","24,362","24,303","28,175","25,372",HON
Buildings,--,"3,125","3,152","3,245","3,225",HON
Land/Improvements,--,262,251,259,226,HON
Machinery/Equipment,--,"9,435","9,586","10,008","10,143",HON
Construction in Progress,--,588,724,825,856,HON
Other Prop./Plant/Equip.,--,--,673,773,947,HON
Prop./Plant/Equip. - Gross,--,"13,410","14,386","15,110","15,397",HON
Accumulated Depreciation,--,"(8,114)","(8,388)","(8,767)","(8,888)",HON
Prop./Plant/Equip. - Net,"5,926","5,296","5,998","6,343","6,509",HON
"Goodwill, Net","18,277","15,546","15,563","16,058","17,756",HON
Intangibles - Gross,--,"7,486","7,471","7,719","8,058",HON
Accum. Intangible Amort.,--,"(3,347)","(3,737)","(4,159)","(4,445)",HON
Intangibles - Net,"4,496","4,139","3,734","3,560","3,613",HON
Long Term Investments,667,742,588,685,"1,222",HON
Other Long Term Assets,"3,851","7,306","8,407","9,005","9,509",HON
Total Assets,"59,470","57,773","58,679","64,586","64,470",HON
Accounts Payable,"6,584","5,607","5,730","5,750","6,484",HON
Accrued Expenses,"6,968","4,056","4,494","3,885","3,854",HON
Notes Payable/ST Debt,"3,958","3,586","3,516","3,597","3,542",HON
Curr. Port. LT Dbt/Cap Ls.,"1,351","2,872","1,376","2,445","1,803",HON
Customer Advances,--,"2,403","2,490","2,932","3,163",HON
Income Taxes Payable,--,400,492,588,662,HON
"Other Curr. Lblts, Total",--,"2,803","2,982","3,520","3,825",HON
Total Current Liabilities,"18,861","18,924","18,098","19,197","19,508",HON
Long Term Debt,"12,573","9,756","10,954","16,218","14,155",HON
Capital Lease Obligations,--,--,156,124,99,HON
Total Long Term Debt,"12,573","9,756","11,110","16,342","14,254",HON
Total Debt,"17,882","16,214","16,002","22,384","19,599",HON
Deferred Income Tax,"2,664","1,713","1,670","2,113","2,364",HON
Minority Interest,168,185,219,248,680,HON
Reserves,--,654,548,466,419,HON
Pension Benefits - Underfunded,512,"2,139","2,199","2,165","1,880",HON
Other LT Liabilities,"8,190","6,222","6,341","6,506","6,796",HON
"Other Liabilities, Total","8,702","9,015","9,088","9,137","9,095",HON
Total Liabilities,"42,968","39,593","40,185","47,037","45,901",HON
Common Stock,958,958,958,958,958,HON
Additional Paid-In Capital,"6,212","6,452","6,876","7,292","8,141",HON
Ret. Earn.(Accum. Deficit),"27,481","33,978","37,693","39,905","42,827",HON
Treasury Stock - Common,"(15,914)","(19,771)","(23,836)","(27,229)","(30,462)",HON
Unrealized Gain (Loss),--,--,--,--,1,HON
Cum. Trans. Adjustment,"(1,981)","(2,709)","(2,566)","(2,780)","(2,478)",HON
Min. Pension Lblty Adj.,(202),(761),(675),(601),(415),HON
Other Comprehensive Income,(52),33,44,4,(3),HON
"Other Equity, Total","(2,235)","(3,437)","(3,197)","(3,377)","(2,896)",HON
Total Equity,"16,502","18,180","18,494","17,549","18,569",HON
Total Liabilities & Shareholders’ Equity,"59,470","57,773","58,679","64,586","64,470",HON
Ttl Comm. Shares Outs.,760,730,711,697,685,HON
Trsy. Shrs-Comm. Primary Iss.,198,228,247,261,273,HON
