items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Equivalents,"4,274","10,967","6,465","3,606",GSK
Short Term Investments,61,"3,010",67,"3,555",GSK
Cash and Short Term Invs,"4,335","13,977","6,532","7,161",GSK
"Trade Accts Recvble, Net","7,860","8,300","6,457","7,508",GSK
Other Receivables,486,497,413,586,GSK
"Total Receivables, Net","8,346","8,797","6,870","8,094",GSK
Total Inventory,"5,783","6,003","4,664","4,659",GSK
Discont. Ops.-Curr. Assets,22,35,"36,017",119,GSK
Other Current Assets,188,176,105,216,GSK
"Other Curr. Assets, Total",210,211,"36,122",335,GSK
Total Current Assets,"18,674","28,988","54,188","20,249",GSK
Prop./Plant/Equip. - Net,"10,672","10,704","9,153","9,650",GSK
"Goodwill, Net","10,552","10,705","5,906","7,195",GSK
Intangibles - Net,"30,079","30,468","11,371","15,589",GSK
LT Invt. - Affiliate Comp.,88,83,77,71,GSK
LT Investments - Other,"2,126","1,656","1,651","1,559",GSK
Long Term Investments,"2,214","1,739","1,728","1,630",GSK
Other Long Term Assets,"1,694","1,822","1,747","1,182",GSK
Total Assets,"79,103","89,689","89,045","60,313",GSK
Payable/Accrued,"17,554","17,577","14,806","16,115",GSK
Notes Payable/ST Debt,0,0,0,0,GSK
Curr. Port. LT Dbt/Cap Ls.,"3,601","4,102","3,327","2,793",GSK
Income Taxes Payable,489,783,295,129,GSK
Discontinued Operations,--,--,"17,850",--,GSK
Other Current Liabilities,"2,026","1,816","1,557","1,916",GSK
"Other Curr. Lblts, Total","2,515","2,599","19,702","2,045",GSK
Total Current Liabilities,"23,670","24,278","37,835","20,953",GSK
Total Long Term Debt,"20,572","29,226","18,784","19,322",GSK
Total Debt,"24,173","33,328","22,111","22,115",GSK
Deferred Income Tax,"3,556","3,668",149,364,GSK
Minority Interest,"6,287","6,451","6,266",(436),GSK
Reserves,630,643,557,561,GSK
Pension Benefits - Underfunded,"3,113","2,940","2,526","2,928",GSK
Other LT Liabilities,"6,220","6,302","6,554","7,469",GSK
"Other Liabilities, Total","9,963","9,885","9,637","10,958",GSK
Total Liabilities,"64,048","73,508","72,671","51,161",GSK
Common Stock,"1,347","1,347","1,347","1,347",GSK
Additional Paid-In Capital,"3,301","3,436","3,439","3,440",GSK
Ret. Earn.(Accum. Deficit),"10,407","11,398","11,588","4,365",GSK
Total Equity,"15,055","16,181","16,374","9,152",GSK
Total Liabilities & Shareholders’ Equity,"79,103","89,689","89,045","60,313",GSK
Ttl Comm. Shares Outs.,"4,025","4,067","3,254",--,GSK
Trsy. Shrs-Comm. Primary Iss.,284,244,195,--,GSK
