items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Equivalents,"5,338","4,296","4,739","4,699",GILD
Short Term Investments,"1,182","1,029",924,961,GILD
Cash and Short Term Invs,"6,520","5,325","5,663","5,660",GILD
"Trade Accts Recvble, Gross","4,540","3,841","4,169","4,405",GILD
Prov. for Doubtful Accts,(47),(54),(51),(51),GILD
"Total Receivables, Net","4,493","3,787","4,118","4,354",GILD
Total Inventory,"1,618","1,482","1,494","1,463",GILD
Prepaid Expenses,"2,141","2,035","1,900","2,077",GILD
Total Current Assets,"14,772","12,629","13,175","13,554",GILD
Prop./Plant/Equip. - Net,"5,121","5,253","5,299","5,349",GILD
"Goodwill, Net","8,332","8,314","8,314","8,314",GILD
Intangibles - Gross,"41,836","39,158","39,140","25,920",GILD
Accum. Intangible Amort.,"(8,381)","(8,827)","(9,255)","(9,700)",GILD
Intangibles - Net,"33,455","30,331","29,885","29,440",GILD
Long Term Investments,"1,309","1,427","1,337","1,282",GILD
Other Long Term Assets,"4,963","5,126","4,860","4,618",GILD
Total Assets,"67,952","63,080","62,870","62,557",GILD
Accounts Payable,705,583,565,614,GILD
Accrued Expenses,"7,600","6,483","6,732","6,637",GILD
Notes Payable/ST Debt,0,0,0,0,GILD
Curr. Port. LT Dbt/Cap Ls.,"1,516","1,025","1,021","2,270",GILD
Income Taxes Payable,539,467,902,902,GILD
Other Current Liabilities,"1,250",0,0,0,GILD
"Other Curr. Lblts, Total","1,789",467,902,902,GILD
Total Current Liabilities,"11,610","8,558","9,220","10,423",GILD
Total Long Term Debt,"25,179","25,183","25,195","22,953",GILD
Total Debt,"26,695","26,208","26,216","25,223",GILD
Deferred Income Tax,"4,356","3,687","3,364","3,036",GILD
Minority Interest,(5),(12),(21),(24),GILD
"Other Liabilities, Total","5,743","5,737","4,876","5,088",GILD
Total Liabilities,"46,883","43,153","42,634","41,476",GILD
"Pref. Stock-Non Rdmbl, Net",0,0,--,0,GILD
Common Stock,1,1,1,1,GILD
Additional Paid-In Capital,"4,661","4,867","5,031","5,226",GILD
Ret. Earn.(Accum. Deficit),"16,324","14,986","15,117","15,756",GILD
Unrealized Gain (Loss),(4),(23),(34),(41),GILD
Cum. Trans. Adjustment,13,18,(8),(89),GILD
Other Comprehensive Income,74,78,129,228,GILD
"Other Equity, Total",87,96,121,139,GILD
Total Equity,"21,069","19,927","20,236","21,081",GILD
Total Liabilities & Shareholders’ Equity,"67,952","63,080","62,870","62,557",GILD
Ttl Comm. Shares Outs.,"1,254","1,255","1,254","1,254",GILD
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,GILD
