items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash,621,798,951,886,L
Prop./Plant/Equip. - Net,"9,888","9,896","9,962","9,949",L
"Goodwill, Net",349,348,346,344,L
LT Invt. - Affiliate Comp.,"1,933","1,917","1,941","1,975",L
LT Investments - Other,"52,005","49,185","46,134","44,022",L
Long Term Investments,"53,938","51,102","48,075","45,997",L
Insurance Receivables,"9,273","9,259","9,701","9,458",L
Def. Policy Acq. Costs,"4,213","4,270","4,385","4,440",L
"Other Assets, Total","3,344","3,471","3,651","4,037",L
Total Assets,"81,626","79,144","77,071","75,111",L
Policy Liabilities,"37,410","36,286","35,485","35,154",L
Unearned Prem. Or Rev.,"5,761","5,942","6,289","6,195",L
Reinsurance - Liability,90,396,320,359,L
Policy Liabilities,"43,261","42,624","42,094","41,708",L
Notes Payable/ST Debt,0,0,0,0,L
Curr. Port. LT Dbt/Cap Ls.,93,393,839,814,L
Total Long Term Debt,"8,986","8,883","8,443","8,475",L
Total Debt,"9,079","9,276","9,282","9,289",L
Deferred Income Tax,"1,079",715,350,245,L
Minority Interest,"1,329","1,120",985,807,L
"Other Liabilities, Total","9,032","8,834","9,124","9,216",L
Total Liabilities,"63,780","62,569","61,835","61,265",L
Common Stock,2,2,2,2,L
Additional Paid-In Capital,"2,885","2,859","2,869","2,886",L
Ret. Earn.(Accum. Deficit),"14,776","15,097","15,261","15,377",L
Treasury Stock - Common,(3),(132),(386),(616),L
Unrealized Gain (Loss),928,(519),"(1,728)","(2,934)",L
Cum. Trans. Adjustment,(100),(114),(175),(271),L
Min. Pension Lblty Adj.,(636),(630),(625),(620),L
Other Comprehensive Income,(6),12,18,22,L
"Other Equity, Total",(742),(732),(782),(869),L
Total Equity,"17,846","16,575","15,236","13,846",L
Total Liabilities & Shareholders’ Equity,"81,626","79,144","77,071","75,111",L
Ttl Comm. Shares Outs.,248,246,242,238,L
Trsy. Shrs-Comm. Primary Iss.,0,2,6,11,L
