items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Net Premiums Earned,"2,119","2,059","2,155","2,221",L
Other Insurance Revenue,929,922,926,932,L
Total Premiums Earned,"3,048","2,981","3,081","3,153",L
Net Investment Income,578,463,271,472,L
Realized Gains (Losses),71,6,126,(137),L
Total Revenue,"3,697","3,450","3,478","3,488",L
"Losses,Benies& Adjmts,Total","1,665","1,455","1,583","1,665",L
Amort. Of Policy Acquisition Costs,359,344,374,383,L
Unusual Expense (Income),15,10,20,25,L
"Other Operat Expse, Total","1,078","1,045","1,082","1,131",L
Total Operating Expense,"3,117","2,854","3,059","3,204",L
Total Operating Income,580,596,419,284,L
"Inter Expse,Net Non-Operat",(100),(96),(96),(92),L
"Inter/Invest Inc, Non-Oper",(21),(38),(70),(2),L
Income Before Tax,459,462,253,190,L
Income Tax - Total,88,92,51,47,L
Income After Tax,371,370,202,143,L
Minority Interest,(28),(32),(22),(13),L
Net Inc Before Extra Items,343,338,180,130,L
Total Net Income,343,338,180,130,L
Income Available to Common Excl. Extra. Items,343,338,180,130,L
Income Available to Common Incl. Extra. Items,343,338,180,130,L
Basic/Primary Weighted Average Shares,252,248,245,240,L
Basic/Primary EPS Excl. Extra. Items,1.36,1.36,0.73,0.54,L
Basic/Primary EPS Incl. Extra. Items,1.36,1.36,0.73,0.54,L
Diluted Weighted Average Shares,252,248,246,241,L
Diluted EPS Excl. Extra. Items,1.36,1.36,0.73,0.54,L
Diluted EPS Incl. Extra. Items,1.36,1.36,0.73,0.54,L
Div/Share-ComStockPrimIssue,0.06,0.06,0.06,0.06,L
Gross Divid - Common Stock,16,16,15,15,L
Pro Forma Net Income,--,--,--,--,L
"Interest Expense, Suppl",100,96,96,92,L
Total Special Items,55,29,57,139,L
Normalzd Income Before Tax,514,491,310,329,L
Efct/SpecItemsIncTxs (STEC),11,6,11,34,L
IncTxsExcl ImpctofSpec Itms,99,98,62,81,L
Normalized Income After Tax,415,393,248,248,L
Normalzd Inc Avail to Common,387,361,226,235,L
Basic Normalized EPS,1.54,1.46,0.92,0.98,L
Diluted Normalized EPS,1.53,1.45,0.92,0.97,L
