items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash,763,"1,130",766,786,ALL
Prop./Plant/Equip. - Net,"1,253",966,975,"1,008",ALL
"Goodwill, Net","3,502","3,497","3,496","3,502",ALL
LT Invt. - Affiliate Comp.,"8,018","7,977","7,943","7,907",ALL
LT Investments - Other,"56,683","53,791","53,112","53,099",ALL
Long Term Investments,"64,701","61,768","61,055","61,006",ALL
Insurance Receivables,"8,364","8,874","8,824","9,150",ALL
Def. Inc. Tax - LT Asset,--,--,118,492,ALL
Disct. Ops. - LT Asset,0,--,--,--,ALL
Def. Policy Acq. Costs,"4,722","4,824","5,030","5,273",ALL
Accrued Investment Income,339,341,359,389,ALL
Reinsurance - Asset,"10,024","9,691","9,376","9,961",ALL
Other Assets,"5,772","6,059","6,351","6,109",ALL
"Other Assets, Total","16,135","16,091","16,086","16,459",ALL
Total Assets,"99,440","97,150","96,350","97,676",ALL
Accrued Expenses,465,--,--,--,ALL
Policy Liabilities,"34,183","34,131","35,492","37,725",ALL
Insurance Reserves,"1,273","1,274","1,295","1,276",ALL
Unearned Prem. Or Rev.,"19,844","20,248","21,026","22,026",ALL
Other Policyholders’ Funds,908,907,908,909,ALL
Policy Liabilities,"56,208","56,560","58,721","61,936",ALL
Notes Payable/ST Debt,0,0,0,0,ALL
Total Long Term Debt,"7,976","7,973","7,970","7,967",ALL
Total Debt,"7,976","7,973","7,970","7,967",ALL
Deferred Income Tax,833,402,0,0,ALL
Minority Interest,(52),(74),(91),(112),ALL
Discont. Ops. - Lblts,0,--,--,--,ALL
Other Liabilities,"8,831","9,077","9,635","10,212",ALL
"Other Liabilities, Total","8,831","9,077","9,635","10,212",ALL
Total Liabilities,"74,261","73,938","76,235","80,003",ALL
Redeemable Preferred Stock,"2,025","2,025","2,025","2,025",ALL
"Pref. Stock-Non Rdmbl, Net",(55),(55),(55),(55),ALL
Common Stock,9,9,9,9,ALL
Additional Paid-In Capital,"3,722","3,706","3,740","3,765",ALL
Ret. Earn.(Accum. Deficit),"53,294","53,688","52,412","51,490",ALL
Treasury Stock - Common,"(34,471)","(35,208)","(35,858)","(36,518)",ALL
Unrealized Gain (Loss),598,(995),"(2,138)","(2,927)",ALL
Cum. Trans. Adjustment,(15),(15),(62),(150),ALL
Min. Pension Lblty Adj.,72,57,42,34,ALL
"Other Equity, Total",57,42,(20),(116),ALL
Total Equity,"25,179","23,212","20,115","17,673",ALL
Total Liabilities & Shareholders’ Equity,"99,440","97,150","96,350","97,676",ALL
Ttl Comm. Shares Outs.,281,276,271,266,ALL
Trsy. Shrs-Comm. Primary Iss.,619,624,629,634,ALL
Trsry Shrs-Pref. Iss. 1,0,0,0,0,ALL
