items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
Cash & Equivalents,"21,375","25,482","24,612","38,845",UNH
"Total Receivables, Net","13,866","11,994","12,439","13,684",UNH
Prepaid Expenses,"5,320","5,613","5,218","5,657",UNH
Prop./Plant/Equip. - Net,"8,969","9,183","9,421","9,469",UNH
"Goodwill, Net","75,795","77,548","84,159","83,904",UNH
Intangibles - Net,"10,044","9,918","11,285","10,785",UNH
Long Term Investments,"45,646","45,267","45,779","45,239",UNH
Insurance Receivables,"14,216","18,871","18,718","17,047",UNH
"Other Assets, Total","16,975","17,362","18,541","18,434",UNH
Total Assets,"212,206","221,238","230,172","243,064",UNH
Accounts Payable,"24,643","25,058","25,145","27,232",UNH
Policy Liabilities,"24,483","28,676","28,978","29,064",UNH
Unearned Prem. Or Rev.,"2,571","2,675","2,212","12,847",UNH
Policy Liabilities,"27,054","31,351","31,190","41,911",UNH
Notes Payable/ST Debt,0,0,0,0,UNH
Curr. Port. LT Dbt/Cap Ls.,"3,620","6,697","5,592","3,229",UNH
Total Long Term Debt,"42,383","40,796","45,799","45,438",UNH
Total Debt,"46,003","47,493","51,391","48,667",UNH
Deferred Income Tax,"3,265","2,954","2,581","1,659",UNH
Minority Interest,"4,719","4,881","8,307","8,275",UNH
"Other Liabilities, Total","34,762","36,735","38,738","40,674",UNH
Total Liabilities,"140,446","148,472","157,352","168,418",UNH
"Pref. Stock-Non Rdmbl, Net",0,0,0,0,UNH
Common Stock,10,10,10,10,UNH
Additional Paid-In Capital,0,--,--,--,UNH
Ret. Earn.(Accum. Deficit),"77,134","78,782","80,540","83,722",UNH
"Other Equity, Total","(5,384)","(6,026)","(7,730)","(9,086)",UNH
Total Equity,"71,760","72,766","72,820","74,646",UNH
Total Liabilities & Shareholders’ Equity,"212,206","221,238","230,172","243,064",UNH
Ttl Comm. Shares Outs.,941,939,935,935,UNH
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,UNH
