items,Q4 2021,Q1 2022,Q2 2022,Q3 2022,ticker
"Interest Income, Bank","12,834","13,972","16,897","19,449",SAN
Total Interest Expense,"4,118","5,117","7,343","9,398",SAN
Net Interest Income,"8,716","8,855","9,554","10,051",SAN
Loan Loss Provision,"1,415","2,101","2,661","3,068",SAN
NetInterIn after Loan Loss Provision,"7,301","6,754","6,893","6,983",SAN
Fees & Commish from Operat,"3,680","3,747","4,045","4,094",SAN
Insur Commish Fees& Premium,402,390,959,732,SAN
Dealer Trading Acct Profit,412,"1,801",--,433,SAN
Invest Securities Gains,255,389,471,"1,160",SAN
Foreign Currency Gains,--,--,796,--,SAN
Unrealized Gains,259,43,713,--,SAN
Other Unusual Income,18,14,21,6,SAN
Other Revenue,657,666,593,438,SAN
"Non-Interest Income, Bank","5,683","7,050","7,598","6,863",SAN
Labor & Related Expenses,"(3,011)","(2,863)","(3,085)","(3,177)",SAN
Depreciation Expense,(692),(704),(738),(793),SAN
Dealer Trading Account Loss,--,--,"(1,083)",--,SAN
Investmt Securities Losses,(164),--,(307),--,SAN
Foreign Currency Losses,(173),"(1,873)",--,(353),SAN
Unrealized Losses,--,--,--,(755),SAN
Other Unusual Expense,(105),(57),(51),(36),SAN
Restructuring Charge,(808),(455),(480),(370),SAN
Other Expense,"(4,200)","(3,681)","(5,003)","(4,516)",SAN
"Non-Interest Expense, Bank","(9,153)","(9,633)","(10,747)","(10,000)",SAN
Income Before Tax,"3,831","4,171","3,744","3,846",SAN
Income Tax - Total,"1,169","1,302","1,072","1,164",SAN
Income After Tax,"2,662","2,869","2,672","2,682",SAN
Minority Interest,(387),(326),(321),(260),SAN
Net Inc Before Extra Items,"2,275","2,543","2,351","2,422",SAN
Total Net Income,"2,275","2,543","2,351","2,422",SAN
Income Available to Common Excl. Extra. Items,"2,275","2,543","2,351","2,422",SAN
Income Available to Common Incl. Extra. Items,"2,275","2,543","2,351","2,422",SAN
Basic/Primary Weighted Average Shares,"17,095","17,008","16,574","16,773",SAN
Basic/Primary EPS Excl. Extra. Items,0.13,0.15,0.14,0.14,SAN
Basic/Primary EPS Incl. Extra. Items,0.13,0.15,0.14,0.14,SAN
Diluted Weighted Average Shares,"17,095","17,008","16,574","16,773",SAN
Diluted EPS Excl. Extra. Items,0.13,0.15,0.14,0.14,SAN
Diluted EPS Incl. Extra. Items,0.13,0.15,0.14,0.14,SAN
Div/Share-ComStockPrimIssue,0.05,0.00,0.05,0.00,SAN
Pro Forma Net Income,--,--,--,--,SAN
"Depreciat/Amort, Suppl",692,704,738,793,SAN
Total Special Items,895,498,510,400,SAN
Normalzd Income Before Tax,"4,726","4,669","4,254","4,246",SAN
Efct/SpecItemsIncTxs (STEC),273,155,146,121,SAN
IncTxsExcl ImpctofSpec Itms,"1,442","1,457","1,218","1,285",SAN
Normalized Income After Tax,"3,284","3,212","3,036","2,961",SAN
Normalzd Inc Avail to Common,"2,897","2,886","2,715","2,701",SAN
Basic Normalized EPS,0.17,0.17,0.16,0.16,SAN
Diluted Normalized EPS,0.17,0.17,0.16,0.16,SAN
