items,2018,2019,2020,2021,2022,ticker
Cash & Equivalents,"11,777","11,839","6,707","7,116","2,773",QCOM
Short Term Investments,311,421,"4,507","5,298","3,609",QCOM
Cash and Short Term Invs,"12,088","12,260","11,214","12,414","6,382",QCOM
"Trade Accts Recvble, Gross","2,723","1,093",--,--,--,QCOM
Prov. for Doubtful Accts,(56),(47),--,--,--,QCOM
"Trade Accts Recvble, Net","2,667","1,046","2,687","2,214","4,175",QCOM
Other Receivables,237,"1,425","1,316","1,365","1,468",QCOM
"Total Receivables, Net","2,904","2,471","4,003","3,579","5,643",QCOM
Invent. - Finished Goods,906,656,"1,349","1,486","2,791",QCOM
Invent. - Work In Progress,715,667,"1,155","1,475","3,329",QCOM
Invent. - Raw Materials,72,77,94,267,221,QCOM
Total Inventory,"1,693","1,400","2,598","3,228","6,341",QCOM
Discont. Ops.-Curr. Assets,--,--,--,--,733,QCOM
Other Current Assets,699,634,704,854,"1,625",QCOM
"Other Curr. Assets, Total",699,634,704,854,"2,358",QCOM
Total Current Assets,"17,384","16,765","18,519","20,075","20,724",QCOM
Buildings,"1,900","1,847","1,926","2,016","2,136",QCOM
Land/Improvements,186,170,173,172,170,QCOM
Machinery/Equipment,"5,211","5,363","6,522","7,903","9,029",QCOM
Construction in Progress,79,182,134,269,330,QCOM
Other Prop./Plant/Equip.,85,86,550,607,736,QCOM
Prop./Plant/Equip. - Gross,"7,461","7,648","9,305","10,967","12,401",QCOM
Accumulated Depreciation,"(4,486)","(4,567)","(5,134)","(5,895)","(6,602)",QCOM
Prop./Plant/Equip. - Net,"2,975","3,081","4,171","5,072","5,799",QCOM
"Goodwill, Net","6,498","6,282","6,323","7,246","10,508",QCOM
Intangibles - Gross,"6,483","6,092","5,661","5,478","5,607",QCOM
Accum. Intangible Amort.,"(3,528)","(3,920)","(4,008)","(4,020)","(3,725)",QCOM
Intangibles - Net,"2,955","2,172","1,653","1,458","1,882",QCOM
Long Term Investments,"1,052","1,130",982,"1,265","1,294",QCOM
Def. Inc. Tax - LT Asset,936,"1,196","1,351","1,591","1,803",QCOM
Disct. Ops. - LT Asset,--,--,--,--,"1,200",QCOM
Other Long Term Assets,918,"2,331","2,595","4,533","5,804",QCOM
Total Assets,"32,718","32,957","35,594","41,240","49,014",QCOM
Accounts Payable,"1,825","1,368","2,248","2,750","3,796",QCOM
Accrued Expenses,"2,248","2,427","2,674","3,179","1,835",QCOM
Notes Payable/ST Debt,"1,005",499,500,500,499,QCOM
Curr. Port. LT Dbt/Cap Ls.,14,"2,014",14,"1,544","1,446",QCOM
Customer Advances,"4,000","1,694","2,289","2,586","2,248",QCOM
Income Taxes Payable,453,480,549,862,634,QCOM
Discontinued Operations,--,--,--,--,581,QCOM
Other Current Liabilities,"1,844",453,398,530,827,QCOM
"Other Curr. Lblts, Total","6,297","2,627","3,236","3,978","4,290",QCOM
Total Current Liabilities,"11,389","8,935","8,672","11,951","11,866",QCOM
Long Term Debt,"15,365","13,437","15,226","13,701","13,537",QCOM
Capital Lease Obligations,17,11,116,--,--,QCOM
Total Long Term Debt,"15,382","13,448","15,342","13,701","13,537",QCOM
Total Debt,"16,401","15,961","15,856","15,745","15,482",QCOM
Deferred Income Tax,291,103,--,64,167,QCOM
Other LT Liabilities,"4,849","5,562","5,503","5,574","5,312",QCOM
Discont. Ops. - Lblts,--,--,--,--,119,QCOM
"Other Liabilities, Total","4,849","5,562","5,503","5,574","5,431",QCOM
Total Liabilities,"31,911","28,048","29,517","31,290","31,001",QCOM
"Pref. Stock-Non Rdmbl, Net",0,0,0,0,0,QCOM
Common Stock,0,343,586,0,195,QCOM
Ret. Earn.(Accum. Deficit),542,"4,466","5,284","9,822","17,840",QCOM
Unrealized Gain (Loss),243,186,206,--,--,QCOM
Cum. Trans. Adjustment,11,(99),(32),--,--,QCOM
Other Equity,--,--,--,0,--,QCOM
Other Comprehensive Income,11,13,33,128,(22),QCOM
"Other Equity, Total",22,(86),1,128,(22),QCOM
Total Equity,807,"4,909","6,077","9,950","18,013",QCOM
Total Liabilities & Shareholders’ Equity,"32,718","32,957","35,594","41,240","49,014",QCOM
Ttl Comm. Shares Outs.,"1,219","1,145","1,131","1,125","1,121",QCOM
Trsy. Shrs-Comm. Primary Iss.,0,0,0,0,0,QCOM
